Order,Property Name,Parent Property Id,Parent Property Name,Street Number,Street Name,Borough,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),DOF Benchmarking Submission Status
711,88 Bleecker Street,,,Not found,Not found,Manhattan,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,72483.0,Retail Store,10000.0,,,1961,100.0,Whole Building,,,179.2,183.9,107.3,112.4,9.2,0.8,,,,,,,6219223.2,66699.3,2628762.0,762390.3,563.4,330.3,233.1,,Not found
712,500 Seaview Avenue,,,Not found,Not found,Staten Island,Office,"Medical Office, Office",Office,40000.0,Medical Office,10000.0,,,1987,100.0,Whole Building,Whole Building,100.0,58.8,58.4,18.7,18.6,5.5,,,,,,,,,,935718.1,272540.0,83.0,0.0,83.0,394.9,Not found
713,3601 Johnson Avenue,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,115847.0,,,,,1955,100.0,Whole Building,Whole Building,82.0,90.4,95.8,67.5,72.9,2.7,0.6,,,,,,,6733000.3,73824.3,1083112.9,312693.2,453.7,357.6,96.0,3194.4,Not found
714,3600 Fieldston Road,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,86000.0,,,,,1941,100.0,Whole Building,Whole Building,60.0,107.0,113.9,77.4,84.2,3.6,0.7,,,,,,,5599173.5,61993.5,1058213.8,306448.3,391.2,297.4,93.8,11649.6,Not found
715,142-24 38 Avenue,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,58720.0,,,,,1965,100.0,Whole Building,Whole Building,,153.1,160.2,119.4,126.0,3.9,1.1,,,,,,,6228796.9,66173.5,779857.8,229701.9,400.0,330.8,69.1,7132.2,Not found
716,43 Wooster Condominium,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,26505.0,,,,,2002,100.0,Whole Building,Whole Building,,108.5,116.1,66.8,73.1,5.5,0.5,,,,,,,1282966.7,14363.9,486806.9,146520.6,111.3,68.1,43.2,36056.1,Not found
717,Brighton 5th Street,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,90000.0,,,,,1929,100.0,Whole Building,Whole Building,100.0,7.2,,5.8,,0.2,0.0,,414000.0,,,,,46266.4,497.4,57949.4,17223.2,38.3,33.2,5.1,34.5,Not found
718,Ferguson - 57-18 48th Street,,,Not found,Not found,Brooklyn,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,88500.0,Parking,0.0,,,1930,100.0,Whole Building,Whole Building,36.0,131.1,145.4,106.8,120.4,2.7,1.0,,,,,,,8026755.0,92475.5,814054.7,238585.8,498.5,426.3,72.2,41.8,Not found
719,Ferguson - 48-20 57th Avenue,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,"Manufacturing/Industrial Plant, Parking",Manufacturing/Industrial Plant,143840.0,Parking,0.0,,,1931,100.0,Whole Building,Whole Building,,32.0,32.2,26.2,26.2,0.7,0.2,,,,,,,3127499.8,31275.0,322988.7,96944.3,194.8,166.1,28.6,141.7,Not found
720,Highbridge Realty Associates,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,83000.0,,,,,1989,100.0,Whole Building,,100.0,64.8,64.8,20.6,20.6,6.0,,,,,,,,,,1713231.6,502119.4,151.9,0.0,151.9,13543.8,Not found
